,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
2504,o,The girl rides the horse as fast as she can. She,puts on her blinker and merges onto the freeway.,"pets her dog every hour, religiously.",has to reach her parents' house by midnight.,plays catch with her friend.,3,3,3,"['blinker', 'religiously', 'midnight', 'friend']",3,3,"[' blink', ' pets', ' reach', ' plays']",3,3,"['blinker', 'religiously', 'midnight', 'catch']"
2505,i,Tom was tired decided to call it a day. Tom,labelled the night time as day.,stopped working and went home.,kept working until 4:00.,called the time of day.,2,4,4,"['day', 'home', '400', 'day']",4,3,"[' labelled', ' Tom', ' working', ' called']",2,4,"['labelled', 'working', '400', 'of']"
2506,o,The turtle crawls off the beach. The turtle,sails away on the sea.,eats the beach.,swims on the sand.,swims away.,4,1,1,"['sea', 'beach', 'swims', 'away']",3,3,"[' sails', ' beach', ' swim', ' swim']",1,4,"['sails', 'eats', 'sand', 'swims']"
2507,o,Tony hate Justin Bieber and he loves Beethoven. Tony,likes classical music,drink coke,get up early,listens Justin Bieber's song everyday,1,1,1,"['music', 'coke', 'early', 'biebers']",1,1,"[' Tony', ' drink', ' get', ' Justin']",3,3,"['likes', 'coke', 'get', 'Biebers']"
2508,o,The bird flies over the hunter. The bird,falls to the ground.,drinks a beer.,flies into the moon.,waves at the hunter.,1,1,1,"['ground', 'beer', 'moon', 'hunter']",1,1,"[' falls', ' drinks', ' moon', ' waves']",1,1,"['ground', 'a', 'flies', 'hunter']"
2509,o,The puppy runs across the field. It,curls near a fire.,hits a home run.,leaps for joy.,swings at a ball.,3,2,1,"['fire', 'run', 'joy', 'ball']",2,3,"[' near', ' hits', ' leaps', ' swings']",2,2,"['curls', 'a', 'leaps', 'a']"
2510,o,there are some big countries like china and,beijing,usa,korea,chongqing,2,2,2,"['beijing', 'usa', 'korea', 'chongqing']",3,2,"[' be', 'a', ' k', 'ong']",2,2,"['beijing', 'usa', 'korea', 'chongqing']"
2511,n,"I don't know how to speak Italian, so I",talk to my friend there in English,travel to Italy with no translater,go to a University in Italy,buy a book in Italian,1,3,3,"['english', 'translater', 'italy', 'italian']",3,1,"[' talk', 'ater', ' University', ' buy']",1,1,"['there', 'translater', 'a', 'a']"
2512,o,Wilson hates shrimps and he has seafood allergy. Wilson,eat shrimps everyday,likes eat crab,get up early,likes beef,4,1,1,"['everyday', 'crab', 'early', 'beef']",1,2,"[' eat', ' Wilson', ' get', ' Wilson']",3,3,"['eat', 'eat', 'get', 'likes']"
2513,i,A student was in hot water with his teacher. He,had broken the lead of his pencil.,liked the same music as his teacher.,enjoyed the warmth of the hot tub.,had gotten caught cheating on a test.,4,3,4,"['pencil', 'teacher', 'tub', 'test']",4,4,"[' lead', ' liked', ' enjoyed', ' gotten']",3,2,"['pencil', 'music', 'tub', 'cheating']"
2514,o,A brewer taps into a new keg. The brewer,hits the tap until the keg breaks.,picks up a bottle and throws it.,tries a sip.,knocks the keg apart.,3,2,2,"['keg', 'it', 'sip', 'keg']",1,2,"[' until', ' picks', ' sip', ' knocks']",2,3,"['keg', 'throws', 'sip', 'keg']"
2515,o,Wilson is a smart boy and love to study math. Wilson,eat shrimps everyday,learn hard on math but get poor grades,get up early,get high grades,4,2,1,"['everyday', 'grades', 'early', 'grades']",3,3,"[' eat', ' learn', ' get', ' get']",2,3,"['shrimps', 'hard', 'get', 'get']"
2516,o,although he got sick he still,kept working,goes to hospital,loves her,take medicine,1,2,1,"['working', 'hospital', 'her', 'medicine']",2,1,"[' working', ' goes', ' loves', ' take']",2,2,"['working', 'goes', 'her', 'take']"
2517,o,A man and a woman are going to see a movie. They,go for a swim in the lake.,throw a frisbee back and forth.,begin to brew a large cup of coffee so they don't fall asleep.,buy a large popcorn and a large drink.,4,1,1,"['lake', 'frisbee', 'dont', 'drink']",1,1,"[' go', ' throw', ' brew', ' buy']",1,1,"['a', 'frisbee', 'brew', 'a']"
2518,i,Tom advised Sam that taking revenge would add fuel to the fire. Tom,was telling Sam that the fire was already too hot.,was against making the fire bigger.,was too hot.,was trying to teach Sam restraint.,4,1,1,"['hot', 'bigger', 'hot', 'restraint']",1,3,"[' telling', ' against', ' hot', ' restraint']",1,3,"['already', 'against', 'hot', 'restraint']"
2519,o,The painter looks out on the hills. The painter,dips his brush.,yells hello to the hills.,paints the prison cell wall.,dips his paint into the brush.,1,3,2,"['brush', 'hills', 'wall', 'dips']",4,2,"[' dips', ' yells', ' prison', ' paint']",4,4,"['dips', 'yells', 'paints', 'dips']"
2520,o,"Alice likes to cook at home, but the refrigerator is empty. So she will",start cooking in the kitchen.,watch TV.,eat out.,walk a dog.,3,1,1,"['kitchen', 'tv', 'out', 'dog']",1,3,"[' start', ' watch', ' out', ' walk']",1,1,"['start', 'TV', 'eat', 'a']"
2521,i,Alex was in hot water with his computer science professor. Alex,enjoyed the warmth of his hot tub.,got out of the water.,was in trouble because he was caught cheating.,wanted the water to be cooler.,3,2,2,"['tub', 'water', 'cheating', 'cooler']",3,3,"[' enjoyed', ' water', ' caught', ' water']",4,2,"['tub', 'got', 'cheating', 'cooler']"
2522,o,The girl reaches into the fridge to get mayonnaise. She,takes it out and puts it on the counter.,pulls into her driveway.,begins to brew a cup of coffee.,takes pictures of every object in the grocery store.,1,1,1,"['counter', 'driveway', 'coffee', 'store']",1,1,"[' takes', ' into', ' brew', ' pictures']",1,1,"['counter', 'pulls', 'brew', 'object']"
2523,r,An officer shines a light in the driver's eyes. The officer,shines a light into his own eyes.,asks if they've been drinking.,drives him to the light.,drives into the side of a jail.,2,3,3,"['eyes', 'drinking', 'light', 'jail']",1,2,"[' shines', ' asks', ' light', ' jail']",3,3,"['a', 'theyve', 'light', 'a']"
2524,i,Sam said the test was a piece of cake. Sam,thought the test was easy.,ate some chocolate cake for the test.,found it strange the test was vanilla cake.,found the test very difficult.,1,2,2,"['easy', 'test', 'cake', 'difficult']",1,1,"[' easy', ' ate', ' vanilla', ' found']",4,4,"['thought', 'ate', 'vanilla', 'found']"
2525,o,Wilson is lonely and he want to find a girlfriend. Wilson,drinks Pepsi,play Monster Hunter every day,is single,has a girlfriend,3,4,2,"['pepsi', 'monster', 'single', 'girlfriend']",4,4,"[' Wilson', ' Monster', ' single', ' girlfriend']",3,3,"['Pepsi', 'Monster', 'single', 'a']"
2526,o,"I move out from California, because I",think the weather is nice there,couldn't afford the rent there,go to University in California,have to go back to California,2,4,4,"['there', 'couldnt', 'california', 'california']",4,4,"[' weather', ' couldn', ' University', ' have']",4,4,"['there', 'couldnt', 'University', 'go']"
2527,o,A woman is walking down the street with her arms around her body while her hair is blowing in the wind. She,starts to fly with the wind.,starts to blow the wind.,unwraps her hands.,blows the wind blowing away.,3,2,1,"['wind', 'wind', 'unwraps', 'away']",2,2,"[' fly', ' blow', ' unw', ' blows']",2,1,"['fly', 'starts', 'unwraps', 'blowing']"
2528,o,"I like to take a walk after supper, but it's raining outside. So I decide to",wash my hands.,stay at home.,go out for a walk.,lock the door.,2,3,4,"['hands', 'home', 'walk', 'door']",3,3,"[' wash', ' stay', ' for', ' lock']",2,2,"['wash', 'home', 'a', 'lock']"
2529,o,"many big brands such as LV, prada and",PUMA,BEIJING,CHINA,MICROSOFT,1,3,3,"['puma', 'beijing', 'china', 'microsoft']",4,1,"[' PU', ' BE', ' CH', ' MIC']",3,3,"['PUMA', 'BEIJING', 'CHINA', 'MICROSOFT']"
2530,i,Sam was drawing a blank on the test. Sam,loved drawing blank lines on tests.,thought the test was too easy.,was failing to answer the test questions.,was too busy drawing to take the test.,3,4,4,"['tests', 'easy', 'questions', 'test']",4,2,"[' Sam', ' thought', ' failing', ' too']",2,2,"['lines', 'easy', 'failing', 'drawing']"
2531,n,Donald Trump is meeting French Prime Minister. Putin,reports to the UN.,wants China's help.,is very interested in this action.,doesn't care about this.,3,1,1,"['un', 'chinas', 'action', 'doesnt']",4,4,"[' reports', ' China', ' action', ' doesn']",3,1,"['reports', 'Chinas', 'action', 'doesnt']"
2532,n,i forgot to bring my computer so i can not see your,programming course,gift,email,operating system,3,4,3,"['course', 'gift', 'email', 'system']",3,3,"[' programming', ' gift', ' email', ' operating']",4,4,"['course', 'gift', 'email', 'operating']"
2533,n,Most birds can fly. Penguins are birds and they,are not afraid of coldness.,eat fishes.,can fly.,can't fly.,4,1,3,"['coldness', 'fishes', 'fly', 'fly']",3,3,"[' cold', ' fishes', ' can', ""'t""]",3,3,"['coldness', 'fishes', 'can', 'cant']"
2534,r,Bobby decides to help the pirate defeat the ninja. Bobby,fights the pirate and helps the ninja,provides support by wearing an eyepatch,turns into a box,wakes up and realizes he's not in 2005,2,1,1,"['helps', 'eyepatch', 'box', '2005']",1,1,"[' helps', ' provides', ' box', ' 2005']",3,3,"['ninja', 'eyepatch', 'a', 'hes']"
2535,o,"Beijing is the capital of China, and Beijing",is the home of Sushi that serves on china,is better than Shanghai,don't have tea,is in California,2,2,2,"['sushi', 'shanghai', 'tea', 'california']",2,2,"[' ch', ' better', ' don', ' California']",2,2,"['Sushi', 'Shanghai', 'dont', 'California']"
2536,o,The elephant wanders around his habitat at the zoo. He,buys two tickets to the zoo.,lies down to take a nap.,orders a burger and fries.,walks into the wrong bathroom.,2,2,1,"['zoo', 'nap', 'fries', 'bathroom']",2,2,"[' buys', ' lies', ' burger', ' wrong']",2,4,"['zoo', 'a', 'a', 'wrong']"
2537,o,"Sheldon went to a cinema, and in the cinema, he",took photos,listened many songs,watched Harry Potter,played baseball,3,1,1,"['photos', 'songs', 'potter', 'baseball']",3,3,"[' photos', ' many', ' Harry', ' baseball']",1,1,"['photos', 'listened', 'watched', 'baseball']"
2538,q,2 + 2 = ?,2,1,4,3,3,2,2,"['2', '1', '4', '3']",2,2,"[' 2', ' 1', ' 4', ' 3']",1,1,"['2', '1', '4', '3']"
2539,i,"Tom asked Sam when to meet for a group project. Sam said ""we'll play it by ear."" Tom",played the ears to figure out when to meet.,figured out later when to meet Sam.,wrote down the exact time to meet Sam.,loved playing music on ears.,2,3,1,"['meet', 'sam', 'sam', 'ears']",3,3,"[' ears', ' figured', ' wrote', ' ears']",1,3,"['ears', 'figured', 'down', 'ears']"
2540,i,Ted needed to blow off some steam. He,was getting a lot of compliments on his tie.,had eaten a very spicy pepper.,was served a hot green tea.,was very angry at his friends for leaving him out.,4,4,2,"['compliments', 'pepper', 'tea', 'out']",1,4,"[' tie', ' eaten', ' served', ' angry']",4,4,"['compliments', 'a', 'a', 'friends']"
2541,o,The woman is grocery shopping. She,orders a burger and fries to go.,"throws a glance at the junk food aisle, but eventually passes it.",purchases a wedding dress.,gives the customer her correct change.,2,1,1,"['fries', 'it', 'dress', 'change']",1,1,"[' orders', ' junk', ' purchases', ' correct']",4,4,"['a', 'throws', 'a', 'correct']"
2542,p,Ted was having problems getting his mouse to work. He,had not fed it in a couple days.,kept injecting it with steroids.,ate it for dinner the previous night.,needed to replace the batteries.,4,4,3,"['days', 'steroids', 'night', 'batteries']",4,4,"[' fed', ' injecting', ' ate', ' batteries']",4,4,"['a', 'injecting', 'ate', 'batteries']"
2543,o,this problem was not so hard but it did,easy,take some time,smart,hard work,2,2,2,"['easy', 'time', 'smart', 'work']",2,2,"[' easy', ' take', ' smart', ' hard']",2,2,"['easy', 'some', 'smart', 'work']"
2544,i,"Sam was told to take out the garbage, but it slipped his mind. Sam",slipped and fell when taking out the garbage.,remembered to take out the garbage.,forgot to take out the garbage.,slipped on his brain about the garbage.,3,1,1,"['garbage', 'garbage', 'garbage', 'garbage']",3,2,"[' taking', ' Sam', ' Sam', ' brain']",3,3,"['slipped', 'remembered', 'forgot', 'slipped']"
2545,o,The man wanted to order pizza for the work event. He should,call the cops.,find work somewhere else.,fight the pizza delivery guy.,call Papa Johns or Dominoes.,4,1,1,"['cops', 'else', 'guy', 'dominoes']",1,1,"[' call', ' find', ' fight', ' Papa']",2,2,"['cops', 'work', 'fight', 'Dominoes']"
2546,o,The man is at a party. He,downs four beers in ten seconds.,merges onto the freeway.,dances around the parking lot of Chili's.,purchases four beers at the store.,1,4,4,"['seconds', 'merges', 'chilis', 'store']",3,3,"[' downs', ' mer', ' Chili', ' purchases']",4,4,"['downs', 'freeway', 'Chilis', 'beers']"
2547,o,The counsellor argues that OJ had big hands which won't fit in the gloves. He,proceeded to dance in front of the jury,forgot to mention his birthday,didn't care about Nicole,asked them to examine it,4,1,1,"['jury', 'birthday', 'didnt', 'it']",1,4,"[' proceeded', ' forgot', ' Nicole', ' examine']",2,4,"['proceeded', 'birthday', 'Nicole', 'examine']"
2548,i,Sarah had a bee in her bonnet. Sarah,was extremely happy.,was frustrated a bee got caught in her hair.,swatted away the bee from her head.,was very upset.,4,2,1,"['happy', 'hair', 'head', 'upset']",4,4,"[' extremely', ' frustrated', ' sw', ' very']",1,1,"['extremely', 'a', 'swatted', 'upset']"
2549,o,the Burger King is near my home so i always,keep fit,drink coke,eat at home,eat outside,4,3,3,"['fit', 'coke', 'home', 'outside']",3,3,"[' fit', ' co', ' eat', ' outside']",3,1,"['fit', 'coke', 'eat', 'eat']"
2550,o,A crowd of runners are gathered near the starting line prior to starting a race. They,each wash their hands,signal left and move into the passing lane,prepare to sprint forwards,"turn away from the starting line and relax, as the race is about to end.",3,4,1,"['hands', 'lane', 'forwards', 'end']",4,4,"[' wash', ' signal', ' forwards', ' relax']",4,1,"['each', 'lane', 'forwards', 'relax']"
2551,o,The man was going 80mph on a 30mph road. He should,go an even faster speed.,go to the restaurant.,reduce his speed to the speed limit.,call his girlfriend after crossing the road.,3,4,4,"['speed', 'restaurant', 'limit', 'road']",3,1,"[' go', ' go', ' reduce', ' call']",3,1,"['an', 'restaurant', 'reduce', 'call']"
2552,o,Most household water is treated after use. The treated water,removes all the waste and germs from our bodies,is returned to surface water systems.,requirements have been estimated at around 50 liters per person per day.,can be used to throw on electrical appliances,2,3,4,"['germs', 'systems', 'liters', 'throw']",3,1,"[' removes', ' surface', ' requirements', ' throw']",4,2,"['germs', 'surface', 'liters', 'throw']"
2553,n,Amit does not like the great gatsby. Amit,prefers songs.,does not like great gatsby.,Likes trees.,likes the amazing great gatsby.,2,3,3,"['songs', 'gatsby', 'trees', 'gatsby']",2,2,"[' Amit', ' great', ' Likes', ' Amit']",2,1,"['prefers', 'gatsby', 'Likes', 'gatsby']"
2554,o,i fall in love with,one of my classmates,my sister,my mother,my father,1,1,3,"['classmates', 'sister', 'mother', 'father']",1,2,"[' classmates', ' my', ' my', ' father']",3,3,"['classmates', 'sister', 'mother', 'father']"
2555,o,she takes it all but she never,sings,gives,drinks,cries,2,4,4,"['sings', 'gives', 'drinks', 'cries']",2,2,"[' sings', ' never', ' drinks', ' cries']",2,2,"['sings', 'gives', 'drinks', 'cries']"
2556,o,"I went to the swimming pool with my children yesterday, but I got the flu at that time. And I have to",stretch my body.,just watch them play in the pool.,go to sleep.,go swimming.,2,2,2,"['body', 'pool', 'sleep', 'swimming']",3,3,"[' stretch', ' just', ' sleep', ' swimming']",2,4,"['stretch', 'just', 'sleep', 'swimming']"
2557,q,3 plus 3 equals to ?,333,6,3,33,2,3,3,"['333', '6', '3', '33']",3,3,"[' 333', ' 6', ' 3', ' 33']",3,3,"['333', '6', '3', '33']"
2558,o,"My phone is running out of battery, so I",start to play game on my phone,turn it off,turn off the battery saving mode,go for a jog,2,1,1,"['phone', 'off', 'mode', 'jog']",2,2,"[' game', ' turn', ' saving', ' jog']",1,2,"['start', 'turn', 'saving', 'jog']"
2559,o,Juice was brutally hitting Nicole when she called emergency line. He,did the laundry,fed the kids,loved noodles,cleaned up the room immediately,4,4,2,"['laundry', 'kids', 'noodles', 'immediately']",4,1,"[' laundry', ' fed', ' noodles', ' cleaned']",4,4,"['laundry', 'fed', 'noodles', 'cleaned']"
2560,o,can i get grade a?,it depends on my performance.,travel!,sing a song!,get out!,1,1,1,"['performance', 'travel', 'song', 'out']",1,1,"[' it', ' travel', ' sing', ' get']",1,4,"['performance', 'travel', 'a', 'out']"
2561,n,"I don't like to walk, but I have to get there, so I",go to sleep,go back home,take a long walk,order a Uber,4,3,1,"['sleep', 'home', 'walk', 'uber']",3,2,"[' sleep', ' go', ' take', ' order']",2,2,"['go', 'go', 'a', 'Uber']"
2562,o,The man wanted to stop smoking cigarettes. He should,eat a lot of food.,smoke even more cigarettes each day.,stop going to work.,see a doctor about cigarette alternatives.,4,1,1,"['food', 'day', 'work', 'alternatives']",1,3,"[' eat', ' each', ' going', ' alternatives']",3,3,"['eat', 'smoke', 'work', 'cigarette']"
2563,o,A farmer is riding the train into town. She,needs to buy some clothes at the mall.,feeds her pigs and cows.,drives her tractor through the passenger car.,dissolves.,1,1,1,"['mall', 'cows', 'car', 'dissolves']",1,1,"[' needs', ' feeds', ' passenger', ' diss']",1,3,"['mall', 'pigs', 'passenger', 'dissolves']"
2564,o,A dog runs across a field as a frisbee flies through the air. The dog,disappears,misses the catch after running too far,leaps through the frisbee and catches the air in its mouth,curls up near the fire,2,4,4,"['disappears', 'far', 'frisbee', 'fire']",3,1,"[' disappears', ' misses', ' fr', ' curls']",4,4,"['disappears', 'misses', 'frisbee', 'curls']"
2565,o,The man demonstrates using the high-powered blender. He,shows the crowd which books are his favorite.,cuts fruits and veggies to make a salad.,decides to make a fruit smoothie.,reads the script to his audience and bows at the end.,3,4,4,"['favorite', 'veggies', 'smoothie', 'end']",3,3,"[' books', ' fruits', ' decides', ' bows']",1,1,"['books', 'a', 'decides', 'bows']"
2566,o,The dog runs around in a basketball court. It,calls a timeout.,leaps for a slam dunk.,calls a foul.,circles the area.,4,4,4,"['timeout', 'dunk', 'foul', 'area']",4,3,"[' timeout', ' slam', ' calls', ' circles']",4,4,"['timeout', 'slam', 'a', 'circles']"
2567,o,A programmer is running late as he drives to work. He,reads a newspaper.,sits in traffic and swears at neighboring cars.,milks his cow.,writes a program to teleport his car to his destination on time.,2,1,1,"['newspaper', 'swears', 'milks', 'teleport']",4,1,"[' reads', ' neighboring', ' mil', ' teleport']",4,1,"['reads', 'neighboring', 'milks', 'teleport']"
2568,n,Jack is not irresponsible. Jack is,does not understand responsibilities,does not care,not responsible,responsible,4,1,4,"['responsibilities', 'care', 'responsible', 'responsible']",3,3,"[' does', ' does', ' responsible', ' responsible']",3,3,"['responsibilities', 'does', 'responsible', 'responsible']"
2569,o,The little girl wanted to make garlands from the flowers she had plucked from her garden. She,needed a needle and a thread,asked her dog how to do it,had her lunch,couldn't wait for Christmas break,1,1,1,"['thread', 'it', 'lunch', 'break']",2,2,"[' needle', ' dog', ' lunch', ' Christmas']",2,2,"['a', 'dog', 'lunch', 'couldnt']"
2570,o,The cat runs around the basketball court. It,returns to the owner.,leaps for a slam dunk.,leaps for a foul.,takes a three point shot.,1,4,1,"['owner', 'dunk', 'foul', 'shot']",4,3,"[' owner', ' slam', ' leaps', ' three']",1,1,"['owner', 'slam', 'leaps', 'a']"
2571,o,The cat lies on the basketball court. It,calls a foul.,yawns.,takes a three point shot.,leaps for a slam dunk.,2,3,1,"['foul', 'yawns', 'shot', 'dunk']",2,3,"[' calls', ' yawn', ' three', ' slam']",3,3,"['a', 'yawns', 'a', 'slam']"
2572,o,"In an office building, a woman holds a cup of coffee and donut in one hand. With the other, she",glances around the office to see if anyone is watching.,waves down a cab.,heads into the bedroom.,picks off pieces of her snack and puts them into her mouth.,4,1,3,"['watching', 'cab', 'bedroom', 'mouth']",1,3,"[' glances', ' cab', ' heads', ' snack']",4,3,"['glances', 'cab', 'bedroom', 'picks']"
2573,o,The toddler walks around a baseball field. She,scoops up some soil.,throws a slider.,hits a home run.,swings a thirty pound bat.,1,3,4,"['soil', 'slider', 'run', 'bat']",3,3,"[' soil', ' slider', ' hits', ' thirty']",3,1,"['scoops', 'throws', 'a', 'swings']"
2574,,Tim thought that the test was as easy as ABC. He probably got a,seventy,hundred,thirty,one,2,4,4,"['seventy', 'hundred', 'thirty', 'one']",2,4,"[' seventy', ' hundred', ' thirty', ' one']",4,4,"['seventy', 'hundred', 'thirty', 'one']"
2575,o,The man was at the airport and found out that his bag was over the allowed weight. He should,remove items from his bag.,changed the allowed weight to a higher number.,walk to his final destination.,cancel his trip.,1,2,1,"['bag', 'number', 'destination', 'trip']",3,4,"[' items', ' changed', ' walk', ' cancel']",1,3,"['items', 'a', 'walk', 'cancel']"
2576,o,The toddler enters the baseball stadium in a pram. She,swims a mile.,runs a mile.,looks delighted at posters.,hits a home run.,3,4,2,"['swims', 'mile', 'posters', 'run']",4,2,"[' swim', ' runs', ' posters', ' hits']",4,2,"['swims', 'a', 'posters', 'a']"
2577,q,A woman is getting ready to drive to her friend's house across town. She,bakes some cookies to bring with her.,eats her lawn.,falls asleep.,buys six hundred gallons of gas for her car.,1,4,3,"['bakes', 'lawn', 'asleep', 'car']",1,3,"[' b', ' eats', ' falls', ' buys']",3,3,"['bakes', 'eats', 'falls', 'gallons']"
2578,o,"A woman is making a tequila sunrise. After putting ice in the glass, she",watches the sun rise on the beach.,mixes in liquor and juice.,puts ice in the glass.,pours the ice out of the glass.,2,1,3,"['beach', 'juice', 'glass', 'pours']",3,3,"[' watches', ' liquor', ' ice', ' p']",1,1,"['watches', 'liquor', 'ice', 'pours']"
2579,o,A bird flies into a baseball stadium. It,runs to first base.,swings a bat.,gets hit by a baseball.,hits a home run.,3,3,3,"['base', 'bat', 'baseball', 'run']",3,3,"[' runs', ' swings', ' gets', ' hits']",3,1,"['first', 'a', 'a', 'a']"
2580,o,The Eiffel tower is in,America.,"London, England.",Paris.,the tower museum.,3,4,2,"['america', 'england', 'paris', 'museum']",2,2,"[' America', ' London', ' Paris', ' museum']",2,2,"['America', 'England', 'Paris', 'museum']"
2581,i,Jim is tired and wants to call it a day. He decides to,go to Florida,go to work,go home,exercise,3,2,2,"['florida', 'work', 'home', 'exercise']",2,3,"[' Florida', ' work', ' home', ' exercise']",2,2,"['Florida', 'work', 'home', 'exercise']"
2582,o,A lions eats a hippo. The hippo,runs away,dies,falls over,eats the lion,2,4,4,"['away', 'dies', 'over', 'lion']",4,4,"[' runs', ' dies', ' falls', ' the']",1,1,"['away', 'dies', 'falls', 'eats']"
2583,o,The man did not want to get phone wet during kayaking. He should,take the kayak to the ocean.,store it in a locker.,go fishing with his headphones.,change his sneakers into sandals.,2,4,4,"['kayak', 'locker', 'headphones', 'sandals']",1,1,"[' take', ' store', ' headphones', ' sneakers']",1,1,"['ocean', 'a', 'headphones', 'sandals']"
2584,o,Sridevi was chopping onions and tomatoes when she realised she hates guacamole. She,made a weird variant of tomato salsa,decided to never enter the bathroom again,longed to see her spider,was very invigorated by the efforts gone to waste,1,2,2,"['salsa', 'again', 'spider', 'invigorated']",2,2,"[' variant', ' enter', ' spider', ' inv']",2,2,"['a', 'bathroom', 'longed', 'invigorated']"
2585,i,"Jim says ""it's raining cats and dogs!"" Jim",is concerned the cats and dogs will get wounded.,takes the cats and dogs to the animal shelter.,grabs his umbrella.,tries to save the cats and dogs.,3,2,4,"['wounded', 'shelter', 'umbrella', 'dogs']",2,1,"[' wounded', ' Jim', ' Jim', ' Jim']",2,2,"['wounded', 'animal', 'grabs', 'tries']"
2586,i,Johnny got cold feet before his interview. He's very,cold,shivering,happy,nervous,4,3,3,"['cold', 'shivering', 'happy', 'nervous']",4,1,"[' cold', ' sh', ' happy', ' nervous']",1,1,"['cold', 'shivering', 'happy', 'nervous']"
2587,o,John said the evidence is certainly not irrefutable. The evidence,cannot be a certain fact.,difficult to understand.,cannot be refuted.,is refutable.,4,2,2,"['fact', 'difficult', 'refuted', 'refutable']",3,3,"[' certain', ' difficult', ' cannot', ' ref']",2,2,"['a', 'difficult', 'refuted', 'refutable']"
2588,r,The lecturer's dog walks into a lecture theatre. It,speaks into the microphone.,teaches the class.,gives a lecture.,attracts attention from the audience.,4,4,1,"['microphone', 'teaches', 'lecture', 'audience']",4,3,"[' speaks', ' teaches', ' gives', ' attracts']",4,1,"['into', 'teaches', 'a', 'attracts']"
2589,r,A dog walks into a lecture hall. It,gives a lecture.,teaches the class.,lies in the front.,speaks into a microphone.,3,4,2,"['lecture', 'teaches', 'front', 'microphone']",4,1,"[' gives', ' teaches', ' lies', ' speaks']",3,3,"['a', 'teaches', 'front', 'a']"
2590,i,Kareem Hunt is in hot water. His career is,wet,great,starting,over,4,4,4,"['wet', 'great', 'starting', 'over']",4,4,"[' wet', ' great', ' starting', ' over']",4,4,"['wet', 'great', 'starting', 'over']"
2591,o,"When I am really cold, I",will go study,will take off some layers to stay cool,will make hot chocolate to warm up,like to have a cold drink with ice since it will make me more cold,3,4,3,"['study', 'cool', 'up', 'cold']",4,2,"[' study', ' some', ' hot', ' since']",3,3,"['study', 'layers', 'hot', 'ice']"
2592,o,A man is buying a banana at the market. He,looks for his credit card.,reads a newspaper.,gives the cashier ten million dollars.,grows a banana tree from his ears.,1,4,2,"['card', 'newspaper', 'cashier', 'ears']",2,2,"[' credit', ' reads', ' ten', ' ears']",1,1,"['looks', 'a', 'cashier', 'a']"
2593,i,"Tom warned his son by saying ""curiosity killed the cat."" Tom",was teaching his son about the cats death.,used a previous cat as an example of curiosity going wrong.,told his son to adventure however much he wants.,was telling his son to stop being so curious.,4,4,3,"['death', 'wrong', 'wants', 'curious']",4,4,"[' death', ' going', ' adventure', ' telling']",4,4,"['death', 'a', 'adventure', 'so']"
2594,o,A dog walks into a lecture hall. It,teaches students A to Z.,gives a lecture.,teaches students physics.,circles around for food.,4,1,2,"['z', 'lecture', 'physics', 'food']",2,2,"[' A', ' gives', ' teaches', ' circles']",4,4,"['teaches', 'a', 'physics', 'circles']"
2595,o,"Unlike Stanford, Northwestern has a clean campus. Stanford",is amazing,has a clean and beautiful campus,has a dirty campus than northwestern,is not as clean as northwestern,4,2,2,"['amazing', 'campus', 'northwestern', 'northwestern']",2,2,"[' amazing', ' and', ' northwestern', ' northwestern']",2,1,"['amazing', 'a', 'northwestern', 'northwestern']"
2596,n,The man's rebuttal was clearly not nonsensical. The rebuttal,has nothing to do with sense.,had some reasons associated with it.,did not make any sense.,was funny.,2,3,2,"['sense', 'it', 'sense', 'funny']",3,3,"[' sense', ' associated', ' make', ' funny']",3,3,"['sense', 'reasons', 'any', 'funny']"
2597,i,Tom told Sam to hold his horses. Tom,hated horses.,told Sam to wait and be patient.,was annoyed Sam's horses were roaming wild.,wanted Sam's horses off his lawn.,2,2,1,"['horses', 'patient', 'sams', 'sams']",2,2,"[' hated', ' be', ' roaming', ' Tom']",2,2,"['hated', 'wait', 'Sams', 'Sams']"
2598,o,A dog walks into a lecture hall. It,gives a lecture on dog barking habits.,circles around asking for food.,teaches students about food nutrition.,gives a lecture on dog history.,2,4,2,"['habits', 'food', 'nutrition', 'history']",4,4,"[' habits', ' circles', ' teaches', ' history']",2,2,"['a', 'circles', 'teaches', 'a']"
2599,i,Most march madness games come down to the wire. So,they are stupid,they are hard to predict,they are easy to predict,they are a waste of time,2,4,4,"['stupid', 'predict', 'predict', 'time']",4,2,"[' stupid', ' hard', ' easy', ' waste']",2,2,"['stupid', 'predict', 'predict', 'a']"
2600,o,"The race car was very fast, but it was not faster than a",jet.,large turtle.,a fast cheetah.,man running.,1,4,4,"['jet', 'turtle', 'cheetah', 'running']",3,4,"[' jet', ' turtle', ' a', ' man']",4,4,"['jet', 'turtle', 'cheetah', 'running']"
2601,o,The student was not going to graduate college on time. In their next quarter they should,not go to any of their exams.,sleep throughout the day instead of studying.,take more classes.,drop out of college.,3,1,4,"['exams', 'studying', 'classes', 'college']",4,3,"[' exams', ' sleep', ' take', ' drop']",4,4,"['exams', 'sleep', 'more', 'drop']"
